created_at,tweet_id,retweet_count,favorite_count,rating_numerator,rating_denominator,name,timestamp,dog_stage,dog_stages_value,img_num,dog_breed,p1_dog
2017-08-01,892420643555336193,8853,39467,13,10,Phineas,2017-08-01,doggo,None,1,Orange,False
2017-08-01,892420643555336193,8853,39467,13,10,Phineas,2017-08-01,floofer,None,1,Orange,False
2017-08-01,892420643555336193,8853,39467,13,10,Phineas,2017-08-01,pupper,None,1,Orange,False
2017-08-01,892420643555336193,8853,39467,13,10,Phineas,2017-08-01,puppo,None,1,Orange,False
2017-08-01,892177421306343426,6514,33819,13,10,Tilly,2017-08-01,doggo,None,1,Chihuahua,True
2017-08-01,892177421306343426,6514,33819,13,10,Tilly,2017-08-01,floofer,None,1,Chihuahua,True
2017-08-01,892177421306343426,6514,33819,13,10,Tilly,2017-08-01,pupper,None,1,Chihuahua,True
2017-08-01,892177421306343426,6514,33819,13,10,Tilly,2017-08-01,puppo,None,1,Chihuahua,True
2017-07-31,891815181378084864,4328,25461,12,10,Archie,2017-07-31,doggo,None,1,Chihuahua,True
2017-07-31,891815181378084864,4328,25461,12,10,Archie,2017-07-31,floofer,None,1,Chihuahua,True
2017-07-31,891815181378084864,4328,25461,12,10,Archie,2017-07-31,pupper,None,1,Chihuahua,True
2017-07-31,891815181378084864,4328,25461,12,10,Archie,2017-07-31,puppo,None,1,Chihuahua,True
2017-07-30,891689557279858688,8964,42908,13,10,Darla,2017-07-30,doggo,None,1,Paper Towel,False
2017-07-30,891689557279858688,8964,42908,13,10,Darla,2017-07-30,floofer,None,1,Paper Towel,False
2017-07-30,891689557279858688,8964,42908,13,10,Darla,2017-07-30,pupper,None,1,Paper Towel,False
2017-07-30,891689557279858688,8964,42908,13,10,Darla,2017-07-30,puppo,None,1,Paper Towel,False
2017-07-29,891327558926688256,9774,41048,12,10,Franklin,2017-07-29,doggo,None,2,Basset,True
2017-07-29,891327558926688256,9774,41048,12,10,Franklin,2017-07-29,floofer,None,2,Basset,True
2017-07-29,891327558926688256,9774,41048,12,10,Franklin,2017-07-29,pupper,None,2,Basset,True
2017-07-29,891327558926688256,9774,41048,12,10,Franklin,2017-07-29,puppo,None,2,Basset,True
2017-07-29,891087950875897856,3261,20562,13,10,None,2017-07-29,doggo,None,1,Chesapeake Bay Retriever,True
2017-07-29,891087950875897856,3261,20562,13,10,None,2017-07-29,floofer,None,1,Chesapeake Bay Retriever,True
2017-07-29,891087950875897856,3261,20562,13,10,None,2017-07-29,pupper,None,1,Chesapeake Bay Retriever,True
2017-07-29,891087950875897856,3261,20562,13,10,None,2017-07-29,puppo,None,1,Chesapeake Bay Retriever,True
2017-07-28,890971913173991426,2158,12041,13,10,Jax,2017-07-28,doggo,None,1,Appenzeller,True
2017-07-28,890971913173991426,2158,12041,13,10,Jax,2017-07-28,floofer,None,1,Appenzeller,True
2017-07-28,890971913173991426,2158,12041,13,10,Jax,2017-07-28,pupper,None,1,Appenzeller,True
2017-07-28,890971913173991426,2158,12041,13,10,Jax,2017-07-28,puppo,None,1,Appenzeller,True
2017-07-28,890729181411237888,16716,56848,13,10,None,2017-07-28,doggo,None,2,Pomeranian,True
2017-07-28,890729181411237888,16716,56848,13,10,None,2017-07-28,floofer,None,2,Pomeranian,True
2017-07-28,890729181411237888,16716,56848,13,10,None,2017-07-28,pupper,None,2,Pomeranian,True
2017-07-28,890729181411237888,16716,56848,13,10,None,2017-07-28,puppo,None,2,Pomeranian,True
2017-07-27,890609185150312448,4429,28226,13,10,Zoey,2017-07-27,doggo,None,1,Irish Terrier,True
2017-07-27,890609185150312448,4429,28226,13,10,Zoey,2017-07-27,floofer,None,1,Irish Terrier,True
2017-07-27,890609185150312448,4429,28226,13,10,Zoey,2017-07-27,pupper,None,1,Irish Terrier,True
2017-07-27,890609185150312448,4429,28226,13,10,Zoey,2017-07-27,puppo,None,1,Irish Terrier,True
2017-07-26,890240255349198849,7711,32467,14,10,Cassie,2017-07-26,doggo,doggo,1,Pembroke,True
2017-07-26,890240255349198849,7711,32467,14,10,Cassie,2017-07-26,floofer,None,1,Pembroke,True
2017-07-26,890240255349198849,7711,32467,14,10,Cassie,2017-07-26,pupper,None,1,Pembroke,True
2017-07-26,890240255349198849,7711,32467,14,10,Cassie,2017-07-26,puppo,None,1,Pembroke,True
2017-07-26,890006608113172480,7624,31166,13,10,Koda,2017-07-26,doggo,None,1,Samoyed,True
2017-07-26,890006608113172480,7624,31166,13,10,Koda,2017-07-26,floofer,None,1,Samoyed,True
2017-07-26,890006608113172480,7624,31166,13,10,Koda,2017-07-26,pupper,None,1,Samoyed,True
2017-07-26,890006608113172480,7624,31166,13,10,Koda,2017-07-26,puppo,None,1,Samoyed,True
2017-07-25,889880896479866881,5156,28268,13,10,Bruno,2017-07-25,doggo,None,1,French Bulldog,True
2017-07-25,889880896479866881,5156,28268,13,10,Bruno,2017-07-25,floofer,None,1,French Bulldog,True
2017-07-25,889880896479866881,5156,28268,13,10,Bruno,2017-07-25,pupper,None,1,French Bulldog,True
2017-07-25,889880896479866881,5156,28268,13,10,Bruno,2017-07-25,puppo,None,1,French Bulldog,True
2017-07-25,889665388333682689,8538,38818,13,10,None,2017-07-25,doggo,None,1,Pembroke,True
2017-07-25,889665388333682689,8538,38818,13,10,None,2017-07-25,floofer,None,1,Pembroke,True
2017-07-25,889665388333682689,8538,38818,13,10,None,2017-07-25,pupper,None,1,Pembroke,True
2017-07-25,889665388333682689,8538,38818,13,10,None,2017-07-25,puppo,puppo,1,Pembroke,True
2017-07-25,889638837579907072,4735,27672,12,10,Ted,2017-07-25,doggo,None,1,French Bulldog,True
2017-07-25,889638837579907072,4735,27672,12,10,Ted,2017-07-25,floofer,None,1,French Bulldog,True
2017-07-25,889638837579907072,4735,27672,12,10,Ted,2017-07-25,pupper,None,1,French Bulldog,True
2017-07-25,889638837579907072,4735,27672,12,10,Ted,2017-07-25,puppo,None,1,French Bulldog,True
2017-07-24,889531135344209921,2321,15359,13,10,Stuart,2017-07-24,doggo,None,1,Golden Retriever,True
2017-07-24,889531135344209921,2321,15359,13,10,Stuart,2017-07-24,floofer,None,1,Golden Retriever,True
2017-07-24,889531135344209921,2321,15359,13,10,Stuart,2017-07-24,pupper,None,1,Golden Retriever,True
2017-07-24,889531135344209921,2321,15359,13,10,Stuart,2017-07-24,puppo,puppo,1,Golden Retriever,True
2017-07-24,889278841981685760,5637,25652,13,10,Oliver,2017-07-24,doggo,None,1,Whippet,True
2017-07-24,889278841981685760,5637,25652,13,10,Oliver,2017-07-24,floofer,None,1,Whippet,True
2017-07-24,889278841981685760,5637,25652,13,10,Oliver,2017-07-24,pupper,None,1,Whippet,True
2017-07-24,889278841981685760,5637,25652,13,10,Oliver,2017-07-24,puppo,None,1,Whippet,True
2017-07-23,888917238123831296,4709,29611,12,10,Jim,2017-07-23,doggo,None,1,Golden Retriever,True
2017-07-23,888917238123831296,4709,29611,12,10,Jim,2017-07-23,floofer,None,1,Golden Retriever,True
2017-07-23,888917238123831296,4709,29611,12,10,Jim,2017-07-23,pupper,None,1,Golden Retriever,True
2017-07-23,888917238123831296,4709,29611,12,10,Jim,2017-07-23,puppo,None,1,Golden Retriever,True
2017-07-22,888804989199671297,4559,26080,13,10,Zeke,2017-07-22,doggo,None,1,Golden Retriever,True
2017-07-22,888804989199671297,4559,26080,13,10,Zeke,2017-07-22,floofer,None,1,Golden Retriever,True
2017-07-22,888804989199671297,4559,26080,13,10,Zeke,2017-07-22,pupper,None,1,Golden Retriever,True
2017-07-22,888804989199671297,4559,26080,13,10,Zeke,2017-07-22,puppo,None,1,Golden Retriever,True
2017-07-22,888554962724278272,3732,20290,13,10,Ralphus,2017-07-22,doggo,None,3,Siberian Husky,True
2017-07-22,888554962724278272,3732,20290,13,10,Ralphus,2017-07-22,floofer,None,3,Siberian Husky,True
2017-07-22,888554962724278272,3732,20290,13,10,Ralphus,2017-07-22,pupper,None,3,Siberian Husky,True
2017-07-22,888554962724278272,3732,20290,13,10,Ralphus,2017-07-22,puppo,None,3,Siberian Husky,True
2017-07-20,888078434458587136,3653,22201,12,10,Gerald,2017-07-20,doggo,None,1,French Bulldog,True
