created_at,tweet_id,retweet_count,favorite_count,rating_numerator,rating_denominator,name,timestamp,dog_stage,img_num,dog_breed,p1_dog
2,890240255349198849,7711,32467,14,10,Cassie,2017-07-26,doggo,1,Pembroke,True
0,889531135344209921,2321,15359,13,10,Stuart,2017-07-24,puppo,1,Golden Retriever,True
5,886366144734445568,3316,21524,12,10,Roscoe,2017-07-15,pupper,1,French Bulldog,True
6,884162670584377345,3128,20771,12,10,Yogi,2017-07-09,doggo,1,German Shepherd,True
4,883360690899218434,3825,22986,13,10,Grizzwald,2017-07-07,floofer,1,Chow,True
3,882762694511734784,5134,28903,12,10,Gus,2017-07-06,pupper,1,Labrador Retriever,True
6,881536004380872706,16570,50199,14,10,a,2017-07-02,pupper,1,Samoyed,True
6,878776093423087618,4319,19763,13,10,Snoopy,2017-06-25,puppo,2,Italian Greyhound,True
0,876838120628539392,3506,21125,12,10,Ginger,2017-06-19,pupper,1,Bloodhound,True
0,874296783580663808,4308,26651,13,10,Jed,2017-06-12,pupper,1,Cocker Spaniel,True
6,874012996292530176,11007,35501,13,10,Sebastian,2017-06-11,puppo,2,Cardigan,True
4,873213775632977920,1667,7467,12,10,Sierra,2017-06-09,pupper,1,Vizsla,True
0,871762521631449091,3678,20787,12,10,Rover,2017-06-05,pupper,2,Labrador Retriever,True
6,871515927908634625,3628,20730,12,10,Napolean,2017-06-04,doggo,2,Komondor,True
1,869596645499047938,3327,16476,12,10,Scout,2017-05-30,doggo,1,Chihuahua,True
2,867421006826221569,2697,16755,12,10,Shikha,2017-05-24,puppo,1,Eskimo Dog,True
0,866450705531457537,32883,106827,13,10,Jamesy,2017-05-22,pupper,2,French Bulldog,True
2,851953902622658560,10706,0,13,10,Astrid,2017-04-12,doggo,1,Staffordshire Bullterrier,True
3,850019790995546112,5459,21944,12,10,Boomer,2017-04-06,pupper,3,Shetland Sheepdog,True
1,846514051647705089,13076,48410,13,10,Barney,2017-03-28,doggo,2,Golden Retriever,True
4,845397057150107648,2072,8241,13,10,Mimosa,2017-03-24,doggo,1,Dandie Dinmont,True
